City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,Norrtalje,SE,59.758,18.705,66.02,86,27,5.32,scattered clouds,2022-07-21 01:24:59
1,Rikitea,PF,-23.1203,-134.9692,73.56,76,0,5.61,light rain,2022-07-21 01:23:12
2,Cherskiy,RU,68.75,161.3,47.8,39,8,18.19,clear sky,2022-07-21 01:24:59
3,Laguna,US,38.421,-121.4238,106.32,18,0,13.8,clear sky,2022-07-21 01:15:36
4,Ushuaia,AR,-54.8,-68.3,29.86,93,100,17.27,snow,2022-07-21 01:25:00
5,Hilo,US,19.7297,-155.09,84.27,85,41,5.01,scattered clouds,2022-07-21 01:13:57
6,Santa Maria,BR,-29.6842,-53.8069,58.3,100,0,1.14,clear sky,2022-07-21 01:25:00
7,Mataura,NZ,-46.1927,168.8643,44.47,78,100,4.0,overcast clouds,2022-07-21 01:16:51
8,Longyearbyen,SJ,78.2186,15.6401,51.64,82,40,11.5,scattered clouds,2022-07-21 01:16:53
9,Clyde River,CA,70.4692,-68.5914,35.83,100,100,9.22,light rain,2022-07-21 01:13:11
10,Juba,SS,4.8517,31.5825,67.62,91,38,1.14,scattered clouds,2022-07-21 01:25:01
11,Shushenskoye,RU,53.325,91.9356,63.54,56,67,2.86,broken clouds,2022-07-21 01:25:01
12,Cape Town,ZA,-33.9258,18.4232,56.37,78,0,5.75,clear sky,2022-07-21 01:18:03
13,New Norfolk,AU,-42.7826,147.0587,48.92,63,0,1.59,clear sky,2022-07-21 01:22:13
14,Tiksi,RU,71.6872,128.8694,40.6,83,12,22.03,few clouds,2022-07-21 01:25:01
15,Salta,AR,-24.7859,-65.4117,55.99,69,40,4.61,scattered clouds,2022-07-21 01:25:02
16,Lavrentiya,RU,65.5833,-171.0,42.85,69,100,25.5,overcast clouds,2022-07-21 01:16:11
17,Treinta Y Tres,UY,-33.2333,-54.3833,59.07,94,70,7.25,broken clouds,2022-07-21 01:25:02
18,Hermanus,ZA,-34.4187,19.2345,49.44,78,0,6.15,clear sky,2022-07-21 01:11:29
19,Bredasdorp,ZA,-34.5322,20.0403,44.15,90,0,5.75,clear sky,2022-07-21 01:25:03
20,Saskylakh,RU,71.9167,114.0833,51.06,56,53,17.09,broken clouds,2022-07-21 01:20:44
21,Kavieng,PG,-2.5744,150.7967,83.08,75,96,11.99,light rain,2022-07-21 01:25:03
22,Zunyi,CN,27.6867,106.9072,74.59,85,87,6.55,overcast clouds,2022-07-21 01:25:04
23,Ullapool,GB,57.8987,-5.1604,53.35,95,100,3.89,overcast clouds,2022-07-21 01:25:04
24,Busselton,AU,-33.65,115.3333,58.05,81,100,14.18,light rain,2022-07-21 01:19:29
25,Najran,SA,17.4924,44.1277,84.85,51,100,7.83,overcast clouds,2022-07-21 01:25:05
26,Hithadhoo,MV,-0.6,73.0833,79.99,77,98,6.2,overcast clouds,2022-07-21 01:25:05
27,Coari,BR,-4.085,-63.1414,77.29,77,69,2.66,moderate rain,2022-07-21 01:25:05
28,Kahului,US,20.8947,-156.47,83.97,54,40,25.32,scattered clouds,2022-07-21 01:22:20
29,Punta Arenas,CL,-53.15,-70.9167,30.31,93,20,13.8,few clouds,2022-07-21 01:25:06
30,Korla,CN,41.7597,86.1469,69.01,45,0,2.08,clear sky,2022-07-21 01:25:06
31,Nichinan,JP,31.6,131.3667,87.48,74,100,12.73,overcast clouds,2022-07-21 01:25:06
32,Avarua,CK,-21.2078,-159.775,71.65,78,75,16.11,light rain,2022-07-21 01:25:07
33,Abha,SA,18.2164,42.5053,66.02,72,20,9.22,few clouds,2022-07-21 01:25:07
34,Ribeira Grande,PT,38.5167,-28.7,72.82,84,6,2.57,clear sky,2022-07-21 01:24:32
35,Jamestown,US,42.097,-79.2353,82.02,66,0,9.22,clear sky,2022-07-21 01:12:25
36,Mecca,SA,21.4267,39.8261,86.05,44,86,6.22,overcast clouds,2022-07-21 01:25:08
37,Elko,US,41.0002,-115.5012,95.02,11,6,7.0,clear sky,2022-07-21 01:25:08
38,Lebu,CL,-37.6167,-73.65,52.05,96,100,5.17,overcast clouds,2022-07-21 01:16:49
39,Uarini,BR,-2.99,-65.1083,73.15,99,100,3.42,overcast clouds,2022-07-21 01:24:35
40,Vaini,TO,-21.2,-175.2,74.34,78,64,14.92,broken clouds,2022-07-21 01:12:45
41,Albany,US,42.6001,-73.9662,86.65,64,34,3.74,scattered clouds,2022-07-21 01:20:15
42,Hobart,AU,-42.8794,147.3294,48.25,79,40,8.05,scattered clouds,2022-07-21 01:16:49
43,Spearfish,US,44.4908,-103.8594,88.09,18,0,10.36,clear sky,2022-07-21 01:25:09
44,Salcininkai,LT,54.3,25.3833,57.29,92,5,6.42,clear sky,2022-07-21 01:26:09
45,Arcachon,FR,44.5875,-1.0519,64.72,94,20,3.44,fog,2022-07-21 01:26:10
46,Koungou,YT,-12.7336,45.2042,67.71,94,0,2.3,clear sky,2022-07-21 01:26:10
47,Zhuanghe,CN,39.7008,122.9911,71.04,79,100,6.73,overcast clouds,2022-07-21 01:26:10
48,Kapaa,US,22.0752,-159.319,87.78,69,40,17.27,scattered clouds,2022-07-21 01:18:21
49,Kampong Cham,KH,11.9934,105.4635,75.67,93,100,8.72,overcast clouds,2022-07-21 01:26:11
50,Sarangani,PH,5.4033,125.4636,83.05,69,73,1.57,broken clouds,2022-07-21 01:26:11
51,Kalmunai,LK,7.4167,81.8167,79.81,84,100,3.27,overcast clouds,2022-07-21 01:26:11
52,Nome,US,64.5011,-165.4064,47.16,87,100,8.05,moderate rain,2022-07-21 01:26:12
53,Balabac,PH,7.9868,117.0645,84.24,70,77,5.64,broken clouds,2022-07-21 01:26:12
54,Codrington,AU,-38.2667,141.9667,53.69,56,5,6.4,clear sky,2022-07-21 01:26:12
