City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hithadhoo,-0.6,73.0833,82.63,74,97,12.8,MV,2022-07-19 00:38:44
1,Acapulco,16.8634,-99.8901,85.82,74,40,11.5,MX,2022-07-19 00:38:44
2,Rikitea,-23.1203,-134.9692,74.68,74,0,10.67,PF,2022-07-19 00:38:44
3,Nouadhibou,20.931,-17.0347,73.38,78,77,9.22,MR,2022-07-19 00:38:45
4,Lokosovo,61.1333,74.8167,61.0,69,95,7.16,RU,2022-07-19 00:38:45
5,Kahului,20.8947,-156.47,87.82,61,40,26.46,US,2022-07-19 00:38:45
6,Okhotsk,59.3833,143.3,62.6,78,87,6.73,RU,2022-07-19 00:38:46
7,Bengkulu,-3.8004,102.2655,78.57,79,13,3.09,ID,2022-07-19 00:38:46
8,Dikson,73.5069,80.5464,46.18,77,10,12.12,RU,2022-07-19 00:38:46
9,Baiyin,36.5583,104.2081,60.82,75,98,3.2,CN,2022-07-19 00:38:47
10,Busselton,-33.65,115.3333,54.19,79,0,8.99,AU,2022-07-19 00:38:47
11,Hamilton,39.1834,-84.5333,79.57,82,40,4.61,US,2022-07-19 00:36:27
12,Ushuaia,-54.8,-68.3,37.06,87,75,5.75,AR,2022-07-19 00:38:47
13,Siocon,7.7061,122.1353,79.57,83,100,3.78,PH,2022-07-19 00:38:48
14,Tautira,-17.7333,-149.15,76.23,72,19,4.83,PF,2022-07-19 00:38:48
15,Port Alfred,-33.5906,26.891,63.12,59,51,6.71,ZA,2022-07-19 00:38:48
16,Kungurtug,50.5994,97.5228,47.95,96,100,4.47,RU,2022-07-19 00:38:49
17,Hobart,-42.8794,147.3294,47.26,83,75,9.22,AU,2022-07-19 00:35:23
18,Satinka,52.3792,41.6819,53.31,96,38,11.39,RU,2022-07-19 00:38:49
19,Mbandaka,0.0487,18.2603,68.31,97,100,2.19,CD,2022-07-19 00:38:49
20,Georgetown,5.4112,100.3354,78.75,91,40,5.01,MY,2022-07-19 00:35:27
21,Puerto Ayora,-0.7393,-90.3518,68.56,97,89,1.99,EC,2022-07-19 00:38:50
22,Olafsvik,64.8945,-23.7142,52.88,78,100,8.68,IS,2022-07-19 00:38:50
23,Mataura,-46.1927,168.8643,46.47,91,100,3.31,NZ,2022-07-19 00:38:50
24,Vaini,-21.2,-175.2,78.96,83,40,11.5,TO,2022-07-19 00:38:50
25,Dzaoudzi,-12.7887,45.2699,76.89,65,75,20.71,YT,2022-07-19 00:38:51
26,Tasiilaq,65.6145,-37.6368,37.56,85,18,0.72,GL,2022-07-19 00:38:51
27,Narsaq,60.9167,-46.05,52.02,75,21,0.27,GL,2022-07-19 00:38:51
28,Deputatskiy,69.3,139.9,41.07,85,100,4.14,RU,2022-07-19 00:38:52
29,Saint-Georges,12.0564,-61.7485,80.28,83,20,10.36,GD,2022-07-19 00:38:52
30,Hilo,19.7297,-155.09,89.28,76,100,9.22,US,2022-07-19 00:38:37
31,Los Llanos De Aridane,28.6585,-17.9182,69.55,95,100,17.27,ES,2022-07-19 00:38:52
32,Paamiut,61.994,-49.6678,44.44,80,100,3.42,GL,2022-07-19 00:38:53
33,Bluff,-46.6,168.3333,46.8,71,100,15.01,NZ,2022-07-19 00:38:53
34,Luderitz,-26.6481,15.1594,56.68,84,0,9.55,NA,2022-07-19 00:38:53
35,Saint-Philippe,-21.3585,55.7679,67.59,77,57,17.98,RE,2022-07-19 00:38:54
36,Atuona,-9.8,-139.0333,76.93,74,77,16.31,PF,2022-07-19 00:35:17
37,Flinders,-34.5833,150.8552,54.18,64,78,11.99,AU,2022-07-19 00:38:54
38,Tuatapere,-46.1333,167.6833,45.28,88,100,7.72,NZ,2022-07-19 00:38:54
39,Mayor Pablo Lagerenza,-19.9309,-60.7718,74.35,51,100,3.76,PY,2022-07-19 00:38:55
40,Gravdal,68.1214,13.5031,52.56,81,90,8.23,NO,2022-07-19 00:38:55
41,Hermanus,-34.4187,19.2345,53.8,82,98,3.76,ZA,2022-07-19 00:38:55
42,Mitu,1.1983,-70.1733,71.98,98,94,0.54,CO,2022-07-19 00:38:55
43,Guaratinga,-16.5667,-39.5667,66.94,79,81,3.29,BR,2022-07-19 00:38:56
44,Butaritari,3.0707,172.7902,82.45,73,30,19.13,KI,2022-07-19 00:38:56
45,Qaanaaq,77.484,-69.3632,44.44,63,1,2.84,GL,2022-07-19 00:38:56
46,Cape Town,-33.9258,18.4232,55.9,81,20,9.22,ZA,2022-07-19 00:38:57
47,Stokmarknes,68.5646,14.9108,49.98,93,75,3.44,NO,2022-07-19 00:39:57
48,La Libertad,-2.2333,-80.9,67.66,88,100,8.05,EC,2022-07-19 00:38:40
49,Mount Gambier,-37.8333,140.7667,49.06,61,79,6.06,AU,2022-07-19 00:39:57
50,Punta Arenas,-53.15,-70.9167,39.31,81,0,26.46,CL,2022-07-19 00:39:58
51,Laguna,38.421,-121.4238,105.31,16,0,6.91,US,2022-07-19 00:35:22
52,Pevek,69.7008,170.3133,32.74,96,100,7.31,RU,2022-07-19 00:39:58
53,Fortuna,40.5982,-124.1573,71.85,70,12,4.0,US,2022-07-19 00:39:58
54,Detva,48.5608,19.4195,56.86,70,18,3.62,SK,2022-07-19 00:39:59
55,Westport,41.1415,-73.3579,77.79,96,40,5.75,US,2022-07-19 00:39:59
56,Cabo San Lucas,22.8909,-109.9124,91.62,65,20,11.5,MX,2022-07-19 00:39:56
57,Kapaa,22.0752,-159.319,85.98,70,100,18.41,US,2022-07-19 00:39:59
58,Barabai,-2.5833,115.3833,80.83,72,90,1.07,ID,2022-07-19 00:40:00
59,Quchan,37.106,58.5095,72.27,22,0,7.34,IR,2022-07-19 00:40:00
60,Yaan,7.3833,8.5667,71.22,84,41,5.73,NG,2022-07-19 00:40:00
61,Port Hardy,50.6996,-127.4199,64.58,68,100,4.61,CA,2022-07-19 00:40:01
62,Lafiagi,8.8667,5.4167,72.43,90,22,4.7,NG,2022-07-19 00:40:01
63,Akdepe,42.0551,59.3788,80.69,28,0,9.06,TM,2022-07-19 00:40:01
64,Victoria,22.2855,114.1577,87.85,84,100,10.0,HK,2022-07-19 00:36:26
65,Yellowknife,62.456,-114.3525,73.92,46,75,5.75,CA,2022-07-19 00:40:02
66,Katsuura,35.1333,140.3,80.62,81,100,21.07,JP,2022-07-19 00:40:02
67,Port Elizabeth,-33.918,25.5701,60.31,97,75,4.61,ZA,2022-07-19 00:40:02
68,Khatanga,71.9667,102.5,53.02,71,100,13.47,RU,2022-07-19 00:40:03
69,Longyearbyen,78.2186,15.6401,53.44,62,40,10.36,SJ,2022-07-19 00:40:03
70,Nahavand,34.1885,48.377,68.81,16,0,5.86,IR,2022-07-19 00:40:03
71,Yagodnoye,62.55,149.6667,80.1,53,100,6.38,RU,2022-07-19 00:40:04
72,Arraial Do Cabo,-22.9661,-42.0278,70.47,89,100,15.14,BR,2022-07-19 00:40:04
73,Castro,-24.7911,-50.0119,57.33,99,100,0.54,BR,2022-07-19 00:40:04
74,Barrow,71.2906,-156.7887,42.82,81,100,18.41,US,2022-07-19 00:40:05
75,Ziro,27.6333,93.8333,59.74,99,100,0.58,IN,2022-07-19 00:40:05
76,Souillac,-20.5167,57.5167,66.58,82,75,16.11,MU,2022-07-19 00:40:06
77,Le Mars,42.7942,-96.1656,87.73,58,0,13.8,US,2022-07-19 00:40:06
78,Natal,-5.795,-35.2094,77.22,94,75,8.05,BR,2022-07-19 00:40:06
79,Zhezkazgan,47.8043,67.7144,72.9,61,0,11.56,KZ,2022-07-19 00:40:07
80,Tommot,58.9564,126.2925,77.23,60,9,4.18,RU,2022-07-19 00:40:07
81,Pangnirtung,66.1451,-65.7125,46.0,79,100,2.24,CA,2022-07-19 00:40:07
82,Visnes,59.3556,5.2242,58.21,88,40,6.91,NO,2022-07-19 00:40:08
83,Lompoc,34.6391,-120.4579,80.85,60,0,14.97,US,2022-07-19 00:38:53
84,Mahebourg,-20.4081,57.7,68.25,82,75,16.11,MU,2022-07-19 00:40:08
85,Watsa,3.0372,29.5355,63.55,99,100,1.99,CD,2022-07-19 00:40:09
86,Nchelenge,-9.3451,28.734,62.29,60,0,3.8,ZM,2022-07-19 00:40:09
87,Riyadh,24.6877,46.7219,89.74,14,66,7.92,SA,2022-07-19 00:38:32
88,Ketchikan,55.3422,-131.6461,57.67,94,100,9.22,US,2022-07-19 00:40:10
89,Leningradskiy,69.3833,178.4167,34.7,96,100,18.61,RU,2022-07-19 00:40:10
90,Sovetskiy,61.3614,63.5842,63.7,55,3,2.19,RU,2022-07-19 00:40:10
91,Pascagoula,30.3658,-88.5561,87.85,74,0,0.0,US,2022-07-19 00:40:10
92,Atikokan,48.7555,-91.6216,77.25,66,0,4.56,CA,2022-07-19 00:40:11
93,Saint George,37.1041,-113.5841,104.63,19,0,14.97,US,2022-07-19 00:40:11
94,Albany,42.6001,-73.9662,75.85,89,100,1.01,US,2022-07-19 00:37:25
95,Sept-Iles,50.2001,-66.3821,65.05,86,40,6.91,CA,2022-07-19 00:38:54
96,Aklavik,68.2191,-135.0107,58.89,91,100,6.29,CA,2022-07-19 00:41:12
97,Salinopolis,-0.6136,-47.3561,78.01,87,63,12.75,BR,2022-07-19 00:41:12
98,Mackay,-21.15,149.2,74.68,73,0,11.45,AU,2022-07-19 00:41:13
99,Touros,-5.1989,-35.4608,75.38,88,100,12.35,BR,2022-07-19 00:41:13
100,Kieta,-6.2167,155.6333,84.58,67,100,6.02,PG,2022-07-19 00:41:13
101,Kaitangata,-46.2817,169.8464,45.99,87,100,9.35,NZ,2022-07-19 00:41:14
102,Jiwani,25.05,61.7417,83.5,88,19,15.52,PK,2022-07-19 00:41:14
103,Thompson,55.7435,-97.8558,75.36,53,40,5.75,CA,2022-07-19 00:41:14
104,Gigmoto,13.7796,124.39,84.9,72,70,7.25,PH,2022-07-19 00:41:14
105,Huarmey,-10.0681,-78.1522,62.65,86,100,10.16,PE,2022-07-19 00:41:15
106,Bambous Virieux,-20.3428,57.7575,68.22,82,75,16.11,MU,2022-07-19 00:41:15
107,Aktau,43.65,51.2,77.58,50,0,10.87,KZ,2022-07-19 00:41:15
108,Misratah,32.3754,15.0925,79.68,67,0,4.5,LY,2022-07-19 00:41:16
109,Wattegama,6.7989,81.4808,75.92,84,100,1.19,LK,2022-07-19 00:41:16
110,Bonavista,48.6499,-53.1147,60.82,89,77,17.87,CA,2022-07-19 00:41:17
111,Sabang,5.8933,95.3214,82.71,72,90,15.21,ID,2022-07-19 00:41:17
112,Gizo,-8.103,156.8419,84.22,63,69,3.65,SB,2022-07-19 00:41:17
113,Siloam Springs,36.1881,-94.5405,96.75,36,0,3.44,US,2022-07-19 00:41:17
114,Nanortalik,60.1432,-45.2371,45.72,82,82,7.94,GL,2022-07-19 00:41:18
115,Bethel,41.3712,-73.414,75.36,94,40,9.22,US,2022-07-19 00:41:18
116,Kassala,15.451,36.4,80.28,63,44,13.18,SD,2022-07-19 00:41:18
117,Barcelona,41.3888,2.159,77.83,88,20,1.14,ES,2022-07-19 00:41:19
118,Den Helder,52.9599,4.7593,70.99,66,95,5.99,NL,2022-07-19 00:41:19
119,Salvador,13.8333,-88.9167,79.2,89,97,2.01,SV,2022-07-19 00:41:19
120,Aberdeen,57.1437,-2.0981,72.09,62,100,3.44,GB,2022-07-19 00:38:01
121,Murray Bridge,-35.1167,139.2667,49.12,63,95,7.81,AU,2022-07-19 00:41:20
122,Tiksi,71.6872,128.8694,34.5,84,100,19.98,RU,2022-07-19 00:41:20
123,Muros,42.7762,-9.0603,67.08,83,8,12.26,ES,2022-07-19 00:41:21
124,Sao Joao Da Barra,-21.6403,-41.0511,70.83,87,6,9.51,BR,2022-07-19 00:41:21
125,Kenai,60.5544,-151.2583,64.49,74,40,20.71,US,2022-07-19 00:41:21
126,Mar Del Plata,-38.0023,-57.5575,44.87,83,0,8.05,AR,2022-07-19 00:41:22
